MAC,IP,protocol,mulip
00:0c:29:77:3b:af,192.168.0.4,Report v2,224.0.0.252
00:0c:29:77:3b:af,192.168.0.4,Report v2,224.0.0.251
00:0c:29:77:3b:af,192.168.0.4,Report v2,239.255.255.250
00:0c:29:77:3b:af,192.168.0.4,Report v1,239.255.255.250
00:0c:29:77:3b:af,192.168.0.4,Report v1,224.0.0.251
00:0c:29:77:3b:af,192.168.0.4,Report v1,224.0.0.252
00:50:56:c0:00:02,169.254.92.128,Report v2,224.0.0.252
00:50:56:c0:00:02,169.254.92.128,Report v2,224.0.0.251
00:50:56:c0:00:02,169.254.92.128,Report v2,239.255.255.250
00:50:56:c0:00:02,169.254.92.128,Report v1,224.0.0.252
00:50:56:c0:00:02,169.254.92.128,Report v1,239.255.255.250
00:50:56:c0:00:02,169.254.92.128,Report v1,224.0.0.251
